user_id,RMSE,actual_rating,item_id,predicted_rating
196,1.00563868564,3,242,4.00563868564
186,1.02092061998,3,302,4.02092061998
22,0.783290537654,1,377,1.78329053765
244,1.28804198117,2,51,3.28804198117
166,1.78073823728,1,346,2.78073823728
298,0.220576171572,4,474,4.22057617157
115,1.52077004934,2,265,3.52077004934
253,1.30587239483,5,465,3.69412760517
305,0.252019967772,3,451,3.25201996777
6,0.944119316684,3,86,3.94411931668
62,1.60518564014,2,257,3.60518564014
286,1.88061500034,5,1014,3.11938499966
200,1.16064788321,5,222,3.83935211679
210,0.262610604587,3,40,2.73738939541
224,0.135642573923,3,29,2.86435742608
303,0.0397458604545,3,785,2.96025413955
122,1.33798567848,5,387,3.66201432152
194,1.36671390775,2,274,3.36671390775
291,1.06346278952,4,1042,2.93653721048
234,0.570305313133,2,1184,2.57030531313
119,0.424979468468,4,392,3.57502053153
167,0.0332116189964,4,486,4.033211619
299,0.0989019758848,4,144,3.90109802412
291,0.925184427398,2,118,2.9251844274
308,0.170152056684,4,1,3.82984794332
95,0.994023945454,2,546,2.99402394545
38,0.812624220818,5,95,4.18737577918
102,0.845196327303,2,768,2.8451963273
63,0.452512626238,4,277,3.54748737376
160,1.04066910006,5,234,3.95933089994
50,0.622081702458,3,246,3.62208170246
301,0.348012221208,4,98,4.34801222121
225,0.22082897506,4,193,3.77917102494
290,0.26174948979,4,88,3.73825051021
97,0.959192457563,3,194,3.95919245756
157,0.580391409266,4,274,3.41960859073
181,2.26277139902,1,1081,3.26277139902
278,0.406390391264,5,603,4.59360960874
276,2.18186212549,1,796,3.18186212549
7,0.192453660547,4,32,3.80754633945
10,0.850717077317,4,16,3.14928292268
284,0.345805182174,4,304,3.65419481783
201,1.092302724,2,979,3.092302724
276,0.993041878683,3,564,2.00695812132
287,1.30588699302,5,327,3.69411300698
246,1.32499637989,5,201,3.67500362011
242,0.651218607571,5,1137,4.34878139243
249,1.5337263994,5,241,3.4662736006
99,1.2853266048,5,4,3.7146733952
178,0.402691097378,3,332,3.40269109738
251,0.240105729068,4,100,4.24010572907
81,1.43055373232,2,432,3.43055373232
260,0.805670847602,4,322,3.1943291524
25,0.642424815857,5,181,4.35757518414
59,1.12156758898,5,196,3.87843241102
72,0.692855409399,2,679,2.6928554094
87,1.26609816843,4,384,2.73390183157
290,0.916366400609,5,143,4.08363359939
42,0.942667241112,5,423,4.05733275889
292,0.234603769678,4,515,4.23460376968
115,0.508677764058,3,20,3.50867776406
20,1.5355773664,1,288,2.5355773664
201,0.729345533138,4,219,3.27065446686
13,0.86920755067,3,526,3.86920755067
246,0.0459092051423,4,919,4.04590920514
138,1.24492919283,5,26,3.75507080717
167,2.15202805635,1,232,3.15202805635
60,0.694853406542,5,427,4.30514659346
57,1.22910202343,5,304,3.77089797657
223,0.378451962154,4,274,3.62154803785
189,0.0310304278335,4,512,3.96896957217
243,0.368726384166,3,15,3.36872638417
92,1.36637693215,1,1049,2.36637693215
246,0.40760792151,3,416,3.40760792151
194,0.198363625328,4,165,4.19836362533
241,1.0376586277,2,690,3.0376586277
178,0.338482407912,4,248,3.66151759209
254,0.270409019872,3,1444,2.72959098013
293,0.184243491352,3,5,3.18424349135
127,1.20139130752,5,229,3.79860869248
225,1.10956182968,5,237,3.89043817032
299,0.0570924878362,3,229,3.05709248784
225,0.540916357388,5,480,4.45908364261
276,0.258450672014,3,54,3.25845067201
291,0.909051767542,5,144,4.09094823246
222,0.704865427068,4,366,3.29513457293
267,1.22617221216,5,518,3.77382778784
42,0.479732752745,3,403,3.47973275274
11,0.465678852617,4,111,3.53432114738
95,0.640888931684,4,625,3.35911106832
8,1.38721389454,4,338,2.61278610546
162,0.396411493541,4,25,3.60358850646
87,0.495213219759,4,1016,3.50478678024
279,1.04914766119,5,154,3.95085233881
145,1.79839718857,2,275,3.79839718857
119,1.20392179419,5,1153,3.79607820581
62,0.173016092171,4,498,4.17301609217
62,0.452646571315,3,382,3.45264657132
28,0.0812859542528,4,209,3.91871404575
135,0.201510222767,4,23,4.20151022277
32,0.0744573802148,3,294,3.07445738021
90,1.3269345046,5,382,3.6730654954
286,0.00970601554663,4,208,4.00970601555
293,0.213003044909,3,685,3.21300304491
216,0.0235070484241,4,144,4.02350704842
166,1.2570309642,5,328,3.7429690358
